entry_id,category,event_name,display_title,source_url,source_fragment,mapped_ads,mapped_ttm,mapping_status,notes
SCENE_49,Technical,Ambient stand at E northwest,STAND E NW,,,STAND.ADS#11,,technical,Canonical ADS description MUN AMB POS E NW
SCENE_50,Technical,Ambient stand at F northeast,STAND F NE,,,STAND.ADS#12,,technical,Canonical ADS description MUN AMB POS F NE
SCENE_51,Common,Telescope at position A,TELESCOPE A,https://johnny-castaway.com/common.html,,STAND.ADS#15,,technical,Canonical ADS description TELESCOPE POS A
SCENE_52,Common,Telescope at position C,TELESCOPE C,https://johnny-castaway.com/common.html,,STAND.ADS#16,,technical,Canonical ADS description TELESCOPE POS C
SCENE_53,Escape,Suzy finds Johnnys message,SUZY FINDS MESSAGE,https://johnny-castaway.com/leaving.html,bottle,SUZY.ADS#1,,primary,Canonical ADS description SUZY CITY DWELLER; story day 3
SCENE_54,Escape,Johnny meets Suzy,JOHNNY MEETS SUZY,https://johnny-castaway.com/leaving.html,eares,SUZY.ADS#2,,primary,Canonical ADS description JOHN MEETS SUZY; story day 9
SCENE_55,Visitors,Unseen visitors pass the island,UNSEEN VISITORS,https://johnny-castaway.com/visitors.html,notseen,VISITOR.ADS#1,,primary,Canonical ADS description VISITOR 3
SCENE_56,Visitors,A tanker visits the island,TANKER VISIT,https://johnny-castaway.com/visitors.html,bigship,VISITOR.ADS#3,,primary,Canonical ADS description VISITOR 6; HOLIDAY_NOK
SCENE_57,Common,Coconut falls from the palm tree,COCONUT FALLS,https://johnny-castaway.com/common.html,coco,VISITOR.ADS#4,,primary,Canonical ADS description COCONUT DROP L AND R
SCENE_58,Common,Coconut rolls around the island,COCONUT ROLLS,https://johnny-castaway.com/common.html,coco,VISITOR.ADS#6,,primary,Canonical ADS description COCONUT 360
SCENE_59,Common,Johnny chases a coconut,CHASE THE COCONUT,https://johnny-castaway.com/common.html,coco,VISITOR.ADS#7,,primary,Canonical ADS description COCONUT CHASE
SCENE_60,Visitors,Johnny hits a plane with a coconut,COCONUT HITS PLANE,https://johnny-castaway.com/visitors.html,plane,VISITOR.ADS#5,,primary,Canonical ADS description COCONUT VISITOR 5
SCENE_61,Visitors,Would-be rescuers leave Johnny,WOULD-BE RESCUERS,https://johnny-castaway.com/visitors.html,,WALKSTUF.ADS#1,,primary,Canonical ADS description WOULDBEAS
SCENE_62,Common,Johnny builds his raft,BUILD THE RAFT,https://johnny-castaway.com/common.html,raft,WALKSTUF.ADS#2,,primary,Canonical ADS description MJ RAFT
SCENE_63,Common,Johnny goes jogging,JOGGING,https://johnny-castaway.com/common.html,,WALKSTUF.ADS#3,,primary,Canonical ADS description JOG
CHECK_BUGS,Known bugs,Website bug reports,,,,,,checklist-only,Reference only; never map bugs into firmware names
CHECK_EASTER,Calendar rules,Easter eggs,,https://johnny-castaway.com/list.html,E,,,checklist-only,Index entry lacks a usable date rule and current HOLIDAY.BMP has four overlays
CHECK_FLYING_SAUCER,Rare and Unusual,Flying saucer encounter,,https://johnny-castaway.com/unusual.html,saucer,,,checklist-only,No unambiguous ADS identity yet
CHECK_WHALE,Rare and Unusual,Johnny swallowed by a whale,,https://johnny-castaway.com/unusual.html,whale,,,checklist-only,No unambiguous ADS identity yet
